dim,n_forms,mean_rho,rho_std,top1_eigenvalue,rank_d_concentration,spectral_entropy
1,11412,0.0027588866616867955,0.025923380533149156,1.387635240789935,0.05550540963159739,3.210981816294526
2,5200,0.014910792460221041,0.038326280488392546,1.4625867745321062,0.11519801756397846,3.1988956633465664
3,2799,0.013713671465780803,0.04453598829031173,1.5283390968285424,0.17385744241497214,3.193031427565462
4,2106,0.01720550054969687,0.044699013448196906,1.543925339544467,0.2234777472546888,3.1916669653971677
5,1447,0.021227720415426986,0.04996337159650235,1.6967325966305693,0.28485357527511096,3.1845142973601877
6,1262,0.015343397372132563,0.05462708973671433,1.618383625384803,0.3343926801078354,3.1807715190710897
7,817,0.018779555298627928,0.054989380460406356,1.707035614938854,0.38329928916799216,3.17920599234358
8,962,0.016558409430950206,0.05624045872276012,1.6895427865235788,0.42957386405078357,3.178406610175531
9,661,0.01608174647758627,0.06098863080208519,1.6567137239873886,0.48614113613826876,3.1720590259398547
10,646,0.014237155166950751,0.0693059536415109,1.7710703490988828,0.5413732976326151,3.159526548579254
11,503,0.022696823003213424,0.06982345952360207,1.8117847107312506,0.5850672244236846,3.155979499393003
12,557,0.011898354329506413,0.06703846172626474,1.7062211664471527,0.615245779182572,3.1640742220131157
13,439,0.009479485401161447,0.07940216413219503,1.9166965976863644,0.6741683281028014,3.1454836567358093
14,450,0.010252115837050678,0.06418304985963966,1.7199849029106278,0.6880055705239692,3.1689967999500652
15,402,0.005370633414748681,0.0684266152548688,1.7553755307393342,0.7280375674208603,3.163094362322275
16,422,0.010020713253951229,0.0686789112844485,1.8362434483073562,0.7643223465649863,3.161747055311078
17,339,0.010227667725954345,0.08330166273589913,1.9423336970821092,0.8156127399985942,3.1369844915914262
18,383,0.007165313792522522,0.06821713091485662,1.7153785526265601,0.8277572919545565,3.1626890108298666
19,292,0.014604483296488936,0.08354363757702157,1.9408042466138447,0.8710491538180524,3.136135420999658
20,313,0.004846328853115012,0.07793050540123043,1.8631753758673855,0.89528081727516,3.1465677089979924
21,245,0.31802564677836614,0.15873858536570915,8.882003593041158,0.9722782059432078,2.4586907220268026
22,278,0.3186869090828457,0.15621041765516192,8.88451600536142,0.9797074377566111,2.465400079858043
23,239,0.33082087620738215,0.16530022830347668,9.267867505036847,0.9881087727550324,2.4126508853457733
24,270,0.31037010808808163,0.15360267576032993,8.64637670408137,0.9936032923038374,2.4925378559059217
25,200,0.3343159547068209,0.16743914520554767,9.352155258104574,1.0,2.3992190005482144
26,205,0.3274961730208776,0.16588517152426488,9.086807349445557,1.0,2.409207392235413
27,167,0.32087132111866207,0.18734104256775466,9.177156704822945,1.0,2.3834522328651255
28,164,0.3582851454548785,0.16544680522062902,9.957065748020678,1.0,2.3408969760752885
29,154,0.36811620941456275,0.1790600287430774,10.151008675983746,1.0,2.258511714258831
30,177,0.32509307886764977,0.172650497877816,9.124822690284692,1.0,2.393240561529612
31,101,0.3793811324436726,0.1819461289483503,10.617129377282652,1.0,2.24500297085822
32,141,0.35196957495482906,0.17750805410535692,9.85976859377768,1.0,2.3277349209062903
33,135,0.37775289862619793,0.15754864637551122,10.372718472173538,1.0,2.3008822016513917
34,121,0.37401197018217563,0.17999163627758044,10.380055896087853,1.0,2.2459397565606802
35,106,0.3691370950332512,0.1744890913117123,10.17570380237412,1.0,2.2809856591992688
36,116,0.37632228157411207,0.16948822783179845,10.326199169993206,1.0,2.2645090124113456
37,102,0.41159533706486523,0.18417254452823548,11.301576263011174,1.0,2.1337595261074442
38,92,0.4010976203276311,0.2093192125555374,11.39874286713506,1.0,2.1430894185875946
39,84,0.4369782731359564,0.20169157934333487,12.09431555116841,1.0,2.0347364230801297
40,90,0.398716266643448,0.20499097406261108,11.138368906921833,1.0,2.106869069092941
41,86,0.4062055727161724,0.21080874818604986,11.272347476247909,1.0,2.0602581441187926
42,89,0.3967395441868556,0.1897930894138233,10.917225855284848,1.0,2.135874368774382
43,93,0.4070881834935478,0.17979837603635626,11.15607243779846,1.0,2.142879611535364
44,90,0.42011112253545674,0.17311540428486893,11.380775035351213,1.0,2.1096642387260616
45,78,0.3995483618673763,0.19128619442405448,11.024947820750896,1.0,2.136936057137245
46,67,0.42221578850474145,0.18443928985061742,11.449087778248028,1.0,2.053228596760117
47,55,0.45131376758177993,0.18245313467761684,12.111113607598615,1.0,1.9660006676225452
48,75,0.4255706640069454,0.16136321013509797,11.418202718735053,1.0,2.1199951018719623
50,66,0.3948946492651454,0.20916439552170898,11.046721323498968,1.0,2.1017029814332635
51,61,0.4475181085567628,0.18973965894511494,12.229872782274715,1.0,2.015012810300647
52,64,0.47061297837517185,0.16728565619043678,12.528874359404444,1.0,1.96871573651472
53,59,0.4394302782487534,0.19352958690149671,11.97566140552405,1.0,2.0017319302426224
54,56,0.451899936037512,0.17652483476740238,12.137673514036607,1.0,2.0001641942331907
55,55,0.4810157311113346,0.18522971182480552,12.903667224208021,1.0,1.9114800279586672
56,60,0.4223691128188899,0.1771119819921173,11.5138117083251,1.0,2.112645188119133
57,52,0.4095938158070717,0.16289399968211432,11.05684878843659,1.0,2.157181187500478
58,50,0.454614293230289,0.17798795157313474,12.247391982502819,1.0,1.999096442520912
60,57,0.46169360864356646,0.1750846906958673,12.365437671273256,1.0,1.9731862837751917
62,50,0.4524349239032089,0.18528096716754985,12.23359041246426,1.0,1.9863264409835966
65,51,0.4493474206662251,0.1589645577304291,11.982698521053582,1.0,2.0428696774313884
