dim,n_forms,mean_rho,rho_std,top1_eigenvalue,rank_d_concentration,spectral_entropy,stratification
25,200,0.3343159547068209,0.16743914520554767,9.352155258104574,1.0,2.3992190005482144,level_level_2000+
26,205,0.3274961730208776,0.16588517152426488,9.086807349445557,1.0,2.409207392235413,level_level_2000+
27,167,0.32087132111866207,0.18734104256775466,9.177156704822945,1.0,2.3834522328651255,level_level_2000+
28,164,0.3582851454548785,0.16544680522062902,9.957065748020678,1.0,2.3408969760752885,level_level_2000+
29,154,0.36811620941456275,0.1790600287430774,10.151008675983746,1.0,2.258511714258831,level_level_2000+
30,177,0.32509307886764977,0.172650497877816,9.124822690284692,1.0,2.393240561529612,level_level_2000+
31,101,0.3793811324436726,0.1819461289483503,10.617129377282652,1.0,2.24500297085822,level_level_2000+
32,141,0.35196957495482906,0.17750805410535692,9.85976859377768,1.0,2.3277349209062903,level_level_2000+
33,135,0.37775289862619793,0.15754864637551122,10.372718472173538,1.0,2.3008822016513917,level_level_2000+
34,121,0.37401197018217563,0.17999163627758044,10.380055896087853,1.0,2.2459397565606802,level_level_2000+
35,106,0.3691370950332512,0.1744890913117123,10.17570380237412,1.0,2.2809856591992688,level_level_2000+
36,116,0.37632228157411207,0.16948822783179845,10.326199169993206,1.0,2.2645090124113456,level_level_2000+
37,102,0.41159533706486523,0.18417254452823548,11.301576263011174,1.0,2.1337595261074442,level_level_2000+
38,92,0.4010976203276311,0.2093192125555374,11.39874286713506,1.0,2.1430894185875946,level_level_2000+
39,84,0.4369782731359564,0.20169157934333487,12.09431555116841,1.0,2.0347364230801297,level_level_2000+
40,90,0.398716266643448,0.20499097406261108,11.138368906921833,1.0,2.106869069092941,level_level_2000+
41,86,0.4062055727161724,0.21080874818604986,11.272347476247909,1.0,2.0602581441187926,level_level_2000+
42,89,0.3967395441868556,0.1897930894138233,10.917225855284848,1.0,2.135874368774382,level_level_2000+
43,93,0.4070881834935478,0.17979837603635626,11.15607243779846,1.0,2.142879611535364,level_level_2000+
44,90,0.42011112253545674,0.17311540428486893,11.380775035351213,1.0,2.1096642387260616,level_level_2000+
45,78,0.3995483618673763,0.19128619442405448,11.024947820750896,1.0,2.136936057137245,level_level_2000+
46,67,0.42221578850474145,0.18443928985061742,11.449087778248028,1.0,2.053228596760117,level_level_2000+
47,55,0.45131376758177993,0.18245313467761684,12.111113607598615,1.0,1.9660006676225452,level_level_2000+
48,75,0.4255706640069454,0.16136321013509797,11.418202718735053,1.0,2.1199951018719623,level_level_2000+
50,66,0.3948946492651454,0.20916439552170898,11.046721323498968,1.0,2.1017029814332635,level_level_2000+
51,61,0.4475181085567628,0.18973965894511494,12.229872782274715,1.0,2.015012810300647,level_level_2000+
52,64,0.47061297837517185,0.16728565619043678,12.528874359404444,1.0,1.96871573651472,level_level_2000+
53,59,0.4394302782487534,0.19352958690149671,11.97566140552405,1.0,2.0017319302426224,level_level_2000+
54,56,0.451899936037512,0.17652483476740238,12.137673514036607,1.0,2.0001641942331907,level_level_2000+
55,55,0.4810157311113346,0.18522971182480552,12.903667224208021,1.0,1.9114800279586672,level_level_2000+
56,60,0.4223691128188899,0.1771119819921173,11.5138117083251,1.0,2.112645188119133,level_level_2000+
57,52,0.4095938158070717,0.16289399968211432,11.05684878843659,1.0,2.157181187500478,level_level_2000+
58,50,0.454614293230289,0.17798795157313474,12.247391982502819,1.0,1.999096442520912,level_level_2000+
60,57,0.46169360864356646,0.1750846906958673,12.365437671273256,1.0,1.9731862837751917,level_level_2000+
