dim,n_forms,mean_rho,rho_std,top1_eigenvalue,rank_d_concentration,spectral_entropy
1,859,-0.0160585679028568,0.05698846837499955,1.7677654135573593,0.07071061654229437,3.1777015619811455
2,426,-0.010933808137022188,0.07678195500631414,2.1123823234533994,0.14994373961651503,3.1503333118181733
3,216,-0.008526728826029348,0.09405157754581811,1.9137381687406054,0.22332084235742214,3.1110316322973968
4,110,-0.001155928626278672,0.12340093681215339,2.2489072471408655,0.32192135544745004,3.0328982537761733
5,71,-0.010080331326035745,0.14609758888873475,2.5581630982648833,0.4353667967317508,2.967073407898647
