label,dim,level,analytic_conductor,mean_corr,rank_ratio,top1_frac,spectral_entropy,cond_number
11.2.a.a,1,11,0.0878354422234084,-0.004264414806926445,0.9999999999999994,0.9999999999999994,5.551115123125782e-16,inf
14.2.a.a,1,14,0.1117905628297925,-0.00296754699362007,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
15.2.a.a,1,15,0.1197756030319205,-0.0017254362151532235,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,inf
17.2.a.a,1,17,0.1357456834361766,-0.003555588525120679,0.9999999999999996,0.9999999999999996,4.440892098500625e-16,inf
19.2.a.a,1,19,0.1517157638404327,-0.00044578584793993867,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
20.2.a.a,1,20,0.1597008040425607,0.003383239238029813,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
21.2.a.a,1,21,0.1676858442446888,0.0006586413208063903,0.9999999999999996,0.9999999999999996,4.440892098500625e-16,inf
23.2.a.a,2,23,0.1836559246489449,-0.005264082203724871,0.9999999999999998,0.9999999999999996,4.440892098500625e-16,inf
24.2.a.a,1,24,0.1916409648510729,-0.004642921818348026,0.9999999999999996,0.9999999999999996,4.440892098500625e-16,inf
26.2.a.a,1,26,0.207611045255329,-0.006268779583047008,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,inf
26.2.a.b,1,26,0.207611045255329,-0.0012759239265871288,0.9999999999999996,0.9999999999999996,4.440892098500625e-16,inf
29.2.a.a,2,29,0.2315661658617131,-0.0038311257276563726,0.9999999999999998,0.9999999999999997,3.330669073875469e-16,inf
30.2.a.a,1,30,0.2395512060638411,-0.0017657872013677285,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
31.2.a.a,2,31,0.2475362462659691,-0.0008006221690779736,1.0,0.9999999999999998,2.220446049250313e-16,inf
33.2.a.a,1,33,0.2635063266702253,-0.003383741756955651,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,inf
34.2.a.a,1,34,0.2714913668723533,-0.0073059091007504524,0.9999999999999993,0.9999999999999993,6.661338147750936e-16,inf
35.2.a.a,1,35,0.2794764070744813,-0.005232043109746242,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
35.2.a.b,2,35,0.2794764070744813,-0.002652960833175785,1.0,0.9999999999999998,2.220446049250313e-16,inf
37.2.a.a,1,37,0.2954464874787374,-0.011667359481007552,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
37.2.a.b,1,37,0.2954464874787374,-0.0031858613910513527,0.9999999999999996,0.9999999999999996,4.440892098500625e-16,inf
38.2.a.a,1,38,0.3034315276808654,-0.004339057371607966,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
38.2.a.b,1,38,0.3034315276808654,-0.008215731258822887,0.9999999999999999,0.9999999999999999,1.1102230246251564e-16,inf
39.2.a.a,1,39,0.3114165678829935,-0.006227133533675039,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
39.2.a.b,2,39,0.3114165678829935,-0.0029235832112844058,1.0,0.9999999999999999,1.1102230246251564e-16,inf
40.2.a.a,1,40,0.3194016080851215,-0.006491320951961836,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
41.2.a.a,3,41,0.3273866482872495,-0.0039033308435551927,1.0,0.9999999999999998,2.220446049250313e-16,inf
42.2.a.a,1,42,0.3353716884893776,-0.005610480744682178,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
43.2.a.a,1,43,0.3433567286915056,-0.011548154661572444,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,inf
43.2.a.b,2,43,0.3433567286915056,-0.001442595521349178,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,inf
44.2.a.a,1,44,0.3513417688936336,0.000835357497184844,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
45.2.a.a,1,45,0.3593268090957617,-0.002159158425349843,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
46.2.a.a,1,46,0.3673118492978898,-0.004002759303054396,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
47.2.a.a,4,47,0.3752968895000178,-0.01379199404638707,1.0,0.9999999999999998,2.220446049250313e-16,inf
48.2.a.a,1,48,0.3832819297021458,0.00031745669671685904,0.9999999999999996,0.9999999999999996,4.440892098500625e-16,inf
50.2.a.a,1,50,0.3992520101064019,-0.0037285745511806767,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
50.2.a.b,1,50,0.3992520101064019,-0.0017217604945110807,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
51.2.a.a,1,51,0.4072370503085299,-0.0078541872665365,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
51.2.a.b,2,51,0.4072370503085299,0.0035150092720913294,1.0,0.9999999999999997,3.330669073875469e-16,inf
52.2.a.a,1,52,0.415222090510658,-0.0050213837519396546,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,inf
53.2.a.a,1,53,0.423207130712786,-0.014443708988109455,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,inf
53.2.a.b,3,53,0.423207130712786,-0.001334366153463423,0.9999999999999999,0.9999999999999997,3.330669073875469e-16,inf
54.2.a.a,1,54,0.4311921709149141,-0.0056814509431796,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,inf
54.2.a.b,1,54,0.4311921709149141,-0.0006672909885578298,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,inf
55.2.a.a,1,55,0.4391772111170421,-0.004540617534106472,0.9999999999999996,0.9999999999999996,4.440892098500625e-16,inf
55.2.a.b,2,55,0.4391772111170421,-0.006735642770214101,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,inf
56.2.a.a,1,56,0.4471622513191701,-0.005160134129839337,0.9999999999999996,0.9999999999999996,4.440892098500625e-16,inf
56.2.a.b,1,56,0.4471622513191701,-0.008333868253442341,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,inf
57.2.a.a,1,57,0.4551472915212982,-0.00748004011271649,0.9999999999999999,0.9999999999999999,1.1102230246251564e-16,inf
57.2.a.b,1,57,0.4551472915212982,-0.0066655139327770375,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,inf
57.2.a.c,1,57,0.4551472915212982,-0.0030184367020197954,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,inf
58.2.a.a,1,58,0.4631323317234262,-0.015547963208511529,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
58.2.a.b,1,58,0.4631323317234262,-0.0021696405270831844,0.9999999999999994,0.9999999999999994,5.551115123125782e-16,inf
59.2.a.a,5,59,0.4711173719255542,-0.0048552063771469004,0.9999999999999998,0.9999999999999997,3.330669073875469e-16,inf
61.2.a.a,1,61,0.4870874523298103,-0.009176867080541896,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
61.2.a.b,3,61,0.4870874523298103,-0.001398877682845755,0.9999999999999997,0.9999999999999996,4.440892098500625e-16,inf
62.2.a.a,1,62,0.4950724925319383,-0.0002656318344087612,0.9999999999999996,0.9999999999999996,4.440892098500625e-16,inf
62.2.a.b,2,62,0.4950724925319383,0.00436162285515455,0.9999999999999999,0.9999999999999998,2.220446049250313e-16,inf
63.2.a.a,1,63,0.5030575327340664,-0.0027551507063298068,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,inf
63.2.a.b,2,63,0.5030575327340664,-0.0037569180380152777,1.0,0.9999999999999998,2.220446049250313e-16,inf
65.2.a.a,1,65,0.5190276131383225,-0.007656218147170266,0.9999999999999996,0.9999999999999996,4.440892098500625e-16,inf
65.2.a.b,2,65,0.5190276131383225,-0.0016031639279706156,0.9999999999999999,0.9999999999999997,3.330669073875469e-16,inf
65.2.a.c,2,65,0.5190276131383225,0.0014894246504764752,1.0,0.9999999999999999,1.1102230246251564e-16,inf
66.2.a.a,1,66,0.5270126533404506,-0.004192336335926393,0.9999999999999996,0.9999999999999996,4.440892098500625e-16,inf
66.2.a.b,1,66,0.5270126533404506,-0.007791159533950074,0.9999999999999999,0.9999999999999999,1.1102230246251564e-16,inf
66.2.a.c,1,66,0.5270126533404506,-0.005254814315293426,0.9999999999999997,0.9999999999999997,3.330669073875469e-16,inf
67.2.a.a,1,67,0.5349976935425785,-0.0059084954325453526,0.9999999999999996,0.9999999999999996,4.440892098500625e-16,inf
67.2.a.b,2,67,0.5349976935425785,-0.006641105236768296,1.0,0.9999999999999998,2.220446049250313e-16,inf
67.2.a.c,2,67,0.5349976935425785,-0.007136416919737048,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,inf
68.2.a.a,2,68,0.5429827337447066,-0.005870634110610203,0.9999999999999998,0.9999999999999997,3.330669073875469e-16,inf
69.2.a.a,1,69,0.5509677739468346,7.877185124783674e-06,1.0,1.0,-0.0,inf
